customer_id,customer_name,email,phone,city,province,segment,signup_date
41,Lerato Naidoo,customer41@example.co.za,0769770838,Kimberley,Northern Cape,Corporate,2023-06-19
42,Ayanda Botha,customer42@example.co.za,0847640184,Durban,KwaZulu-Natal,Small Business,2023-09-07
43,Ayanda Naidoo,customer43@example.co.za,0828688755,East London,Eastern Cape,Retail,2022-05-31
44,Zanele Mthembu,customer44@example.co.za,0836855396,Mbombela,Mpumalanga,Retail,2023-05-16
45,Kagiso van Wyk, customer45@example.co.za,0766075395,Bloemfontein,Free State,Retail,2025-02-09
46,Naledi Dlamini,customer46@example.co.za,0842936571,Gqeberha,Eastern Cape,Retail,2025-02-07
47,Nomsa Smith, customer47@example.co.za,0784533779,Pretoria,Gauteng,Corporate,2023-02-21
48,Amahle Mthembu,customer48@example.co.za,0711852264,Gqeberha,Eastern Cape,Retail,2024-05-17
49,Lerato Mokoena,customer49@example.co.za,0843194789,Gqeberha,Eastern Cape,Corporate,2022-11-27
50,Jason Mokoena,customer50@example.co.za,0822262382,East London,Eastern Cape,Small Business,2025-01-22
51,Bongani Dlamini,customer51@example.co.za,0763138181,Cape Town,Western Cape,Retail,2023-09-24
52,Lerato Mabena,customer52@example.co.za,0835186414,Bloemfontein,Free State,Retail,2023-12-26
53,Jason Dlamini,customer53@example.co.za,0833726327,Mbombela,Mpumalanga,Small Business,2024-04-24
54,Mpho Maseko,customer54@example.co.za,0717907400,Cape Town,Western Cape,Small Business,2023-07-01
55,Naledi Adams,customer55@example.co.za,0711649691,Pretoria,Gauteng,Wholesale,2023-04-01
56,Liam Mabena,customer56@example.co.za,0844818418,Durban,KwaZulu-Natal,Small Business,2022-02-18
57,Chantelle Maseko,customer57@example.co.za,0842164686,Durban,KwaZulu-Natal,Corporate,2023-12-21
58,Chantelle Maseko,customer58@example.co.za,0822935113,Mbombela,Mpumalanga,Corporate,2023-01-01
59,Nomsa Ndlovu,customer59@example.co.za,0828290770,Kimberley,Northern Cape,Corporate,2023-10-05
60,Naledi Adams,customer60@example.co.za,0784188992,Polokwane,Limpopo,Corporate,2022-04-01
61,Thabo Pillay,customer61@example.co.za,0848235969,Polokwane,Limpopo,Retail,2023-11-08
62,Ayanda Jacobs,customer62@example.co.za,0796038571,Kimberley,Northern Cape,Corporate,2024-04-16
63,Chantelle Smith,customer63@example.co.za,0783135534,Bloemfontein,Free State,Small Business,2024-05-11
64,Mpho Smith,customer64@example.co.za,0761006810,Polokwane,Limpopo,Corporate,2023-08-11
65,Jason Maseko,customer65@example.co.za,0768411939,Durban,KwaZulu-Natal,Wholesale,2023-03-14
66,Amahle van Wyk,customer66@example.co.za,0792422633,Mbombela,Mpumalanga,Corporate,2024-11-21
67,Ayanda Naidoo,customer67@example.co.za,0714940441,Kimberley,Northern Cape,Corporate,2023-04-06
68,Anele Mokoena,customer68@example.co.za,0825107776,Durban,KwaZulu-Natal,Wholesale,2022-05-30
69,Jason Pillay, customer69@example.co.za,0797442089,East London,Eastern Cape,Wholesale,2024-03-29
70,Anele Mokoena,customer70@example.co.za,0712788238,Durban,KwaZulu-Natal,Wholesale,2023-03-25
71,Liam Ndlovu,customer71@example.co.za,0785180853,Pretoria,Gauteng,Retail,2024-07-23
72,Liam Maseko,customer72@example.co.za,0718425149,Pretoria,Gauteng,Wholesale,2025-01-27
73,Mpho Mahlangu,customer73@example.co.za,0765348512,East London,Eastern Cape,Small Business,2023-07-22
74,Amahle Botha,customer74@example.co.za,0848379837,Mbombela,Mpumalanga,Retail,2023-08-09
75,Nomsa Maseko,customer75@example.co.za,0842351868,Durban,KwaZulu-Natal,Small Business,2022-11-05
76,Chantelle Dlamini,customer76@example.co.za,0794589533,Durban,KwaZulu-Natal,Retail,2024-04-29
77,Ayanda Nkosi,customer77@example.co.za,0762044645,Polokwane,Limpopo,Small Business,2024-05-10
78,Thabo Adams,customer78@example.co.za,0761098919,Polokwane,Limpopo,Corporate,2023-09-04
79,Jason Botha,customer79@example.co.za,0764681284,Polokwane,Limpopo,Corporate,2024-06-11
80,Thabo Adams,customer80@example.co.za,0847783308,East London,Eastern Cape,Small Business,2024-08-15
81,Thabo Adams,customer81@example.co.za,0781454696,Pretoria,Gauteng,Retail,2024-05-27
82,Liam van Wyk,customer82@example.co.za,0825364698,Pretoria,Gauteng,Wholesale,2023-11-02
83,Liam Maseko,customer83@example.co.za,0847360682,Durban,KwaZulu-Natal,Corporate,2024-05-13
84,Sipho Mahlangu,customer84@example.co.za,0821873851,Gqeberha,Eastern Cape,Corporate,2023-04-05
85,Lerato Mokoena,customer85@example.co.za,0834344717,Johannesburg,Gauteng,Retail,2022-11-09
86,Anele Mahlangu,customer86@example.co.za,0792919136,Durban,KwaZulu-Natal,Small Business,2024-08-10
87,Bongani van Wyk,customer87@example.co.za,0782921542,Gqeberha,Eastern Cape,Small Business,2023-09-30
88,Thabo Smith,customer88@example.co.za,0787296605,Johannesburg,Gauteng,Wholesale,2023-02-11
89,Sibusiso Jacobs,customer89@example.co.za,0796059717,Johannesburg,Gauteng,Retail,2025-03-05
90,Bongani Daniels,customer90@example.co.za,0797217147,Cape Town,Western Cape,Retail,2024-11-02
91,Thabo Daniels,customer91@example.co.za,0719224219,Bloemfontein,Free State,Retail,2024-06-06
92,Liam Dlamini,customer92@example.co.za,0763955087,Bloemfontein,Free State,Corporate,2025-01-07
93,Liam Daniels,customer93@example.co.za,0715502929,East London,Eastern Cape,Corporate,2023-05-18
94,Nomsa Nkosi,customer94@example.co.za,0838796514,Johannesburg,Gauteng,Wholesale,2023-11-20
95,Amahle Maseko,customer95@example.co.za,0839179730,Cape Town,Western Cape,Small Business,2023-12-28
96,Ayanda Mthembu,customer96@example.co.za,0785635017,Gqeberha,Eastern Cape,Retail,2024-11-24
97,Sipho Botha,customer97@example.co.za,0797818732,Durban,KwaZulu-Natal,Wholesale,2025-02-11
98,Amahle Mahlangu,customer98@example.co.za,0761289293,Durban,KwaZulu-Natal,Retail,2023-08-26
99,Chantelle Botha,customer99@example.co.za,0847191135,Durban,KwaZulu-Natal,Wholesale,2025-02-07
100,Bongani Daniels,customer100@example.co.za,0796549757,Mbombela,Mpumalanga,Corporate,2024-07-18
101,Kagiso Mthembu,customer101@example.co.za,0833024269,Gqeberha,Eastern Cape,Small Business,2023-10-09
102,Mpho Pillay,customer102@example.co.za,0839123504,Johannesburg,Gauteng,Corporate,2024-12-10
103,Kagiso Jacobs,customer103@example.co.za,0714256752,Kimberley,Northern Cape,Corporate,2023-04-11
104,Mpho Smith,customer104@example.co.za,0829961299,Bloemfontein,Free State,Small Business,2023-07-16
105,Lerato Smith,customer105@example.co.za,0793118618,Cape Town,Western Cape,Wholesale,2022-07-30
106,Kagiso Mahlangu,customer106@example.co.za,0768389840,Cape Town,Western Cape,Corporate,2023-01-13
107,Nomsa Mahlangu,customer107@example.co.za,0822096280,Cape Town,Western Cape,Wholesale,2024-10-04
108,Lerato Dlamini,customer108@example.co.za,0836097514,Johannesburg,Gauteng,Retail,2023-05-24
109,Jason Botha,customer109@example.co.za,0719767312,Johannesburg,Gauteng,Wholesale,2024-07-11
110,Kagiso Daniels,customer110@example.co.za,0842010496,East London,Eastern Cape,Retail,2023-03-02
111,Nomsa Naidoo,customer111@example.co.za,0835024269,Durban,KwaZulu-Natal,Small Business,2025-02-04
112,Mpho Mokoena,customer112@example.co.za,0768558197,Johannesburg,Gauteng,Wholesale,2023-08-20
113,Sibusiso Smith,customer113@example.co.za,0795743227,Cape Town,Western Cape,Wholesale,2022-05-26
114,Nomsa Pillay,customer114@example.co.za,0762925626,Durban,KwaZulu-Natal,Small Business,2022-11-02
115,Anele Naidoo,customer115@example.co.za,0823783722,Gqeberha,Eastern Cape,Corporate,2025-03-11
116,Liam Jacobs,customer116@example.co.za,0766101803,Gqeberha,Eastern Cape,Wholesale,2023-07-12
117,Amahle Nkosi,customer117@example.co.za,0821668752,Mbombela,Mpumalanga,Wholesale,2023-10-23
118,Nomsa Mokoena,customer118@example.co.za,0824840714,Kimberley,Northern Cape,Retail,2023-07-06
119,Lerato van Wyk,customer119@example.co.za,0769706768,Kimberley,Northern Cape,Wholesale,2023-07-24
120,Jason Mahlangu,customer120@example.co.za,0828885465,Pretoria,Gauteng,Corporate,2024-04-16
121,Ayanda Jacobs,customer121@example.co.za,0713698193,Bloemfontein,Free State,Corporate,2024-04-23
122,Kagiso Adams,customer122@example.co.za,0711615675,East London,Eastern Cape,Wholesale,2022-06-30
123,Nomsa Maseko,customer123@example.co.za,0827780932,Bloemfontein,Free State,Retail,2025-01-16
124,Jason Ndlovu,customer124@example.co.za,0839697969,East London,Eastern Cape,Corporate,2024-10-17
125,Lerato Pillay,customer125@example.co.za,0843198037,East London,Eastern Cape,Corporate,2024-06-16
126,Naledi Mokoena,customer126@example.co.za,0795014745,East London,Eastern Cape,Small Business,2023-09-29
127,Thabo Daniels,customer127@example.co.za,0824769851,Mbombela,Mpumalanga,Retail,2024-08-03
128,Anele Mahlangu,customer128@example.co.za,0795896624,Johannesburg,Gauteng,Corporate,2024-04-30
129,Amahle Botha,customer129@example.co.za,0763426689,East London,Eastern Cape,Wholesale,2023-01-26
130,Anele Naidoo,customer130@example.co.za,0847961578,Kimberley,Northern Cape,Corporate,2024-11-05
131,Thabo Smith,customer131@example.co.za,0796008935,Gqeberha,Eastern Cape,Wholesale,2022-11-01
132,Amahle Mabena,customer132@example.co.za,0847328534,East London,Eastern Cape,Wholesale,2023-10-22
133,Sibusiso Adams,customer133@example.co.za,0837891662,Durban,KwaZulu-Natal,Retail,2023-10-14
134,Chantelle Adams,customer134@example.co.za,0793551903,East London,Eastern Cape,Wholesale,2022-03-17
135,Ayanda Jacobs,customer135@example.co.za,0718387112,Pretoria,Gauteng,Retail,2024-12-13
136,Thabo Dlamini,customer136@example.co.za,0763589751,East London,Eastern Cape,Retail,2024-08-19
137,Ayanda Adams,customer137@example.co.za,0792347467,Gqeberha,Eastern Cape,Corporate,2024-12-28
138,Ayanda Mahlangu,customer138@example.co.za,0711602286,Polokwane,Limpopo,Retail,2023-04-26
139,Sibusiso Naidoo,customer139@example.co.za,0762651601,Gqeberha,Eastern Cape,Retail,2024-06-27
140,Kagiso Mokoena,customer140@example.co.za,0826442103,Pretoria,Gauteng,Retail,2023-08-24
141,Bongani Daniels,customer141@example.co.za,0835096953,Bloemfontein,Free State,Wholesale,2025-03-05
142,Mpho van Wyk,customer142@example.co.za,0827418028,Pretoria,Gauteng,Small Business,2024-10-16
143,Anele Botha,customer143@example.co.za,0765261032,Kimberley,Northern Cape,Wholesale,2023-06-07
144,Liam Smith,customer144@example.co.za,0793650391,Cape Town,Western Cape,Retail,2024-06-23
145,Kagiso Daniels,customer145@example.co.za,0795195951,Bloemfontein,Free State,Wholesale,2023-09-11
146,Chantelle Mahlangu,customer146@example.co.za,0824979651,Durban,KwaZulu-Natal,Wholesale,2025-03-17
147,Kagiso Smith,customer147@example.co.za,827640518,Bloemfontein,Free State,Corporate,2022-01-17
148,Lerato Mahlangu,customer148@example.co.za,0715801541,Kimberley,Northern Cape,Small Business,2023-12-23
149,Zanele Mthembu,customer149@example.co.za,0793294774,Durban,KwaZulu-Natal,Retail,2022-03-22
150,Liam Ndlovu,customer150@example.co.za,0787121355,Gqeberha,Eastern Cape,Small Business,2022-07-04
151,Ayanda Daniels,customer151@example.co.za,0834368777,Gqeberha,Eastern Cape,Small Business,2025-01-09
152,Nomsa van Wyk,customer152@example.co.za,0849084065,Bloemfontein,Free State,Corporate,2023-11-25
153,Liam Naidoo,customer153@example.co.za,0834785186,Johannesburg,Gauteng,Wholesale,2025-02-15
154,Sipho Adams,customer154@example.co.za,0825436878,Bloemfontein,Free State,Retail,2024-07-20
155,Nomsa Adams,customer155@example.co.za,0717232293,Bloemfontein,Free State,Retail,2023-04-24
156,Thabo Maseko,customer156@example.co.za,0784713925,East London,Eastern Cape,Retail,2024-08-08
157,Jason Jacobs,customer157@example.co.za,831760793,Gqeberha,Eastern Cape,Retail,2023-09-16
158,Naledi Jacobs,customer158@example.co.za,0833276065,East London,Eastern Cape,Wholesale,2024-07-18
159,Jason Dlamini,customer159@example.co.za,0762661307,Bloemfontein,Free State,Wholesale,2024-04-15
160,Lerato Mabena,customer160@example.co.za,0838438733,Gqeberha,Eastern Cape,Wholesale,2023-04-29
161,Naledi Mabena,customer161@example.co.za,0787017548,Bloemfontein,Free State,Retail,2024-03-26
162,Zanele Jacobs,customer162@example.co.za,0718628891,Gqeberha,Eastern Cape,Retail,2023-03-11
163,Thabo Ndlovu,customer163@example.co.za,0716595355,Kimberley,Northern Cape,Small Business,2022-09-15
164,Zanele Naidoo,customer164@example.co.za,0714475523,Kimberley,Northern Cape,Small Business,2023-04-23
165,Anele Mokoena,customer165@example.co.za,0843427461,Bloemfontein,Free State,Small Business,2025-01-11
166,Mpho Jacobs,customer166@example.co.za,0791432519,Gqeberha,Eastern Cape,Small Business,2022-01-31
167,Sibusiso Maseko,customer167@example.co.za,0823923366,Bloemfontein,Free State,Corporate,2022-04-18
168,Jason Jacobs,customer168@example.co.za,0792066326,Pretoria,Gauteng,Wholesale,2024-07-07
169,Naledi Nkosi,customer169@example.co.za,0784716988,Bloemfontein,Free State,Retail,2024-12-03
170,Liam Mokoena,customer170@example.co.za,0829035982,Gqeberha,Eastern Cape,Wholesale,2024-05-23
171,Amahle Nkosi,customer171@example.co.za,0822355439,Johannesburg,Gauteng,Corporate,2022-10-31
172,Anele Mthembu,customer172@example.co.za,0786455706,Johannesburg,Gauteng,Wholesale,2024-12-22
173,Liam Daniels,customer173@example.co.za,0822919549,Gqeberha,Eastern Cape,Small Business,2024-05-30
174,Sibusiso Daniels,customer174@example.co.za,0848608449,East London,Eastern Cape,Wholesale,2024-05-01
175,Ayanda Daniels,customer175@example.co.za,0845276341,Johannesburg,Gauteng,Corporate,2022-11-09
176,Sipho Naidoo,customer176@example.co.za,0712432176,East London,Eastern Cape,Retail,2024-06-03
177,Bongani Dlamini,customer177@example.co.za,0782006313,Johannesburg,Gauteng,Corporate,2022-09-08
178,Bongani Daniels,customer178@example.co.za,0711863121,Polokwane,Limpopo,Corporate,2023-10-02
179,Naledi Pillay,customer179@example.co.za,0839089795,Bloemfontein,Free State,Small Business,2022-08-10
180,Bongani Jacobs,customer180@example.co.za,0715673599,Bloemfontein,Free State,Small Business,2024-05-28
181,Thabo Mthembu,customer181@example.co.za,0824026879,Mbombela,Mpumalanga,Corporate,2023-09-25
182,Bongani Mokoena,customer182@example.co.za,0833403361,Bloemfontein,Free State,Wholesale,2022-05-23
183,Thabo Naidoo,customer183@example.co.za,0799900022,Pretoria,Gauteng,Small Business,2024-02-10
184,Liam Maseko,customer184@example.co.za,0837208460,Polokwane,Limpopo,Corporate,2023-10-27
185,Sipho Ndlovu,customer185@example.co.za,0833640899,Kimberley,Northern Cape,Retail,2022-06-17
186,Liam Daniels,customer186@example.co.za,0768416270,Gqeberha,Eastern Cape,Wholesale,2023-07-14
187,Naledi Mabena,customer187@example.co.za,0762860421,Durban,KwaZulu-Natal,Corporate,2024-09-23
188,Kagiso Ndlovu,customer188@example.co.za,0837631419,Mbombela,Mpumalanga,Retail,2022-01-16
189,Kagiso Pillay,customer189@example.co.za,0713302417,Durban,KwaZulu-Natal,Corporate,2023-08-16
190,Naledi Mokoena,customer190@example.co.za,0768225192,Bloemfontein,Free State,Small Business,2022-09-22
191,Sibusiso Mabena,customer191@example.co.za,0827661748,Polokwane,Limpopo,Retail,2024-06-12
192,Liam Naidoo,customer192@example.co.za,0716252285,Cape Town,Western Cape,Wholesale,2025-03-20
193,Jason Smith,customer193@example.co.za,0827795314,Polokwane,Limpopo,Retail,2023-10-28
194,Liam Mabena,customer194@example.co.za,0828326807,Pretoria,Gauteng,Retail,2023-05-14
195,Chantelle Naidoo,customer195@example.co.za,0766205543,Polokwane,Limpopo,Corporate,2023-03-30
196,Mpho Naidoo,customer196@example.co.za,0782913049,Bloemfontein,Free State,Small Business,2023-12-17
197,Anele Botha,customer197@example.co.za,0823456926,Bloemfontein,Free State,Corporate,2023-02-09
198,Anele Naidoo,customer198@example.co.za,0839289908,Pretoria,Gauteng,Wholesale,2025-02-28
199,Liam Maseko,customer199@example.co.za,0716303930,Kimberley,Northern Cape,Small Business,2024-06-19
200,Amahle Nkosi,customer200@example.co.za,0796080483,Johannesburg,Gauteng,Corporate,2022-04-26
201,Sipho Smith,customer201@example.co.za,0768581856,Bloemfontein,Free State,Retail,2022-04-27
202,Kagiso Naidoo,customer202@example.co.za,0792514923,Bloemfontein,Free State,Wholesale,2024-08-05
203,Lerato Nkosi,customer203@example.co.za,0714158134,Kimberley,Northern Cape,Corporate,2024-09-01
204,Anele Ndlovu,customer204@example.co.za,0762736473,Mbombela,Mpumalanga,Corporate,2022-06-22
205,Mpho Ndlovu,customer205@example.co.za,0838344365,Mbombela,Mpumalanga,Wholesale,2024-12-09
206,Mpho Mabena,customer206@example.co.za,0845746166,Mbombela,Mpumalanga,Wholesale,2024-04-17
207,Lerato Maseko,customer207@example.co.za,0826531293,Bloemfontein,Free State,Retail,2025-02-16
208,Kagiso Mthembu,customer208@example.co.za,0793522845,Polokwane,Limpopo,Corporate,2022-06-16
209,Anele Mabena,customer209@example.co.za,0847575963,Kimberley,Northern Cape,Small Business,2022-06-23
210,Chantelle Maseko,customer210@example.co.za,0713144023,Gqeberha,Eastern Cape,Retail,2024-05-17
211,Bongani Mokoena,customer211@example.co.za,0846181912,Mbombela,Mpumalanga,Small Business,2023-03-15
212,Amahle Pillay,customer212@example.co.za,0833307963,Bloemfontein,Free State,Small Business,2022-06-08
213,Naledi Ndlovu,customer213@example.co.za,0796649968,Gqeberha,Eastern Cape,Small Business,2024-02-11
214,Mpho van Wyk,customer214@example.co.za,0713777286,Pretoria,Gauteng,Wholesale,2022-03-31
215,Bongani Botha,customer215@example.co.za,0765780297,Polokwane,Limpopo,Wholesale,2023-04-25
216,Sibusiso Smith,customer216@example.co.za,0718868776,Mbombela,Mpumalanga,Small Business,2024-01-24
217,Liam Nkosi,customer217@example.co.za,0715727345,Kimberley,Northern Cape,Wholesale,2024-10-26
218,Jason van Wyk,customer218@example.co.za,0714350371,Mbombela,Mpumalanga,Small Business,2023-05-28
219,Amahle Mabena,customer219@example.co.za,0782721170,Cape Town,Western Cape,Retail,2023-08-07
220,Mpho Mthembu,customer220@example.co.za,0769612629,Johannesburg,Gauteng,Small Business,2024-06-14
221,Sibusiso Nkosi,customer221@example.co.za,0841447451,Johannesburg,Gauteng,Wholesale,2022-04-20
222,Bongani Botha,customer222@example.co.za,0762369112,Polokwane,Limpopo,Corporate,2023-04-05
223,Ayanda Jacobs,customer223@example.co.za,0716625238,Cape Town,Western Cape,Small Business,2022-10-09
224,Kagiso Mahlangu,customer224@example.co.za,0793328554,Cape Town,Western Cape,Wholesale,2024-07-07
225,Thabo Naidoo,customer225@example.co.za,0825293691,Kimberley,Northern Cape,Small Business,2022-11-03
226,Jason Jacobs,customer226@example.co.za,0715833542,Mbombela,Mpumalanga,Small Business,2023-09-09
227,Lerato Botha,customer227@example.co.za,0768669093,Johannesburg,Gauteng,Retail,2022-08-16
228,Thabo Botha,customer228@example.co.za,0793408819,East London,Eastern Cape,Corporate,2024-05-29
229,Bongani Botha,customer229@example.co.za,0787988844,Cape Town,Western Cape,Small Business,2022-06-25
230,Bongani Naidoo,customer230@example.co.za,0789511546,Mbombela,Mpumalanga,Retail,2024-03-10
231,Lerato Adams,customer231@example.co.za,0845255545,East London,Eastern Cape,Retail,2024-01-02
232,Bongani Botha,customer232@example.co.za,0792739191,Johannesburg,Gauteng,Corporate,2022-10-01
233,Bongani Maseko,customer233@example.co.za,0713937508,Cape Town,Western Cape,Wholesale,2024-09-07
234,Anele Naidoo,customer234@example.co.za,0798678589,Pretoria,Gauteng,Retail,2023-08-24
235,Lerato Pillay,customer235@example.co.za,0826294819,Durban,KwaZulu-Natal,Corporate,2024-11-21
236,Amahle Mthembu,customer236@example.co.za,0824206183,Polokwane,Limpopo,Corporate,2024-01-02
237,Ayanda Mthembu,customer237@example.co.za,0827174337,Cape Town,Western Cape,Wholesale,2024-03-30
238,Chantelle Maseko,customer238@example.co.za,0839324908,East London,Eastern Cape,Wholesale,2024-01-23
239,Nomsa Naidoo,customer239@example.co.za,0798121922,Mbombela,Mpumalanga,Retail,2024-05-31
240,Mpho Smith,customer240@example.co.za,0842721307,Kimberley,Northern Cape,Retail,2023-11-03
241,Kagiso Nkosi,customer241@example.co.za,0788149041,Gqeberha,Eastern Cape,Small Business,2024-06-28
242,Liam Ndlovu,customer242@example.co.za,0796914963,Bloemfontein,Free State,Wholesale,2023-07-17
243,Sipho Adams,customer243@example.co.za,0849608154,Cape Town,Western Cape,Small Business,2022-03-05
244,Liam Ndlovu,customer244@example.co.za,0832127988,Pretoria,Gauteng,Small Business,2024-01-21
245,Chantelle Ndlovu,customer245@example.co.za,0783574265,Bloemfontein,Free State,Wholesale,2024-01-30
246,Liam Naidoo,customer246@example.co.za,0783310140,Bloemfontein,Free State,Corporate,2024-03-26
247,Nomsa Botha,customer247@example.co.za,0821434753,Bloemfontein,Free State,Small Business,2024-10-19
248,Chantelle Jacobs,customer248@example.co.za,0845366937,Mbombela,Mpumalanga,Wholesale,2023-03-16
249,Kagiso Mahlangu,customer249@example.co.za,0833057514,Kimberley,Northern Cape,Small Business,2022-06-01
250,Mpho Nkosi,customer250@example.co.za,0826361793,East London,Eastern Cape,Corporate,2022-05-13
251,Kagiso Smith,customer251@example.co.za,0713642499,Mbombela,Mpumalanga,Small Business,2024-01-11
252,Sibusiso Jacobs,customer252@example.co.za,0833329967,Mbombela,Mpumalanga,Small Business,2024-10-08
253,Bongani Mabena,customer253@example.co.za,0763177199,Cape Town,Western Cape,Retail,2022-05-15
254,Chantelle Mahlangu,customer254@example.co.za,0787891998,Gqeberha,Eastern Cape,Wholesale,2025-03-23
255,Anele Maseko,customer255@example.co.za,0792244282,Johannesburg,Gauteng,Wholesale,2024-08-12
256,Bongani Dlamini,customer256@example.co.za,0714052834,Mbombela,Mpumalanga,Small Business,2024-06-05
257,Lerato Jacobs,customer257@example.co.za,0783567173,Mbombela,Mpumalanga,Corporate,2022-12-04
258,Ayanda Botha,customer258@example.co.za,0849705660,Pretoria,Gauteng,Corporate,2022-06-11
259,Zanele Mthembu,customer259@example.co.za,0836080553,Gqeberha,Eastern Cape,Retail,2024-10-26
260,Anele van Wyk,customer260@example.co.za,0796664316,Pretoria,Gauteng,Retail,2022-02-28
261,Lerato Mthembu,customer261@example.co.za,0794536777,Johannesburg,Gauteng,Wholesale,2022-03-04
262,Kagiso Smith,customer262@example.co.za,0765108369,East London,Eastern Cape,Wholesale,2023-09-02
263,Sipho Ndlovu,customer263@example.co.za,0838375356,East London,Eastern Cape,Wholesale,2024-09-18
264,Zanele Maseko,customer264@example.co.za,0783410360,East London,Eastern Cape,Corporate,2023-10-16
265,Chantelle Dlamini,customer265@example.co.za,0717216632,Bloemfontein,Free State,Retail,2023-10-16
266,Liam Jacobs,customer266@example.co.za,0848542969,Durban,KwaZulu-Natal,Small Business,2022-10-16
267,Lerato Smith,customer267@example.co.za,0768015136,Johannesburg,Gauteng,Small Business,2022-11-24
268,Ayanda Pillay,customer268@example.co.za,0713673322,Bloemfontein,Free State,Wholesale,2024-11-20
269,Amahle Smith,customer269@example.co.za,0761388833,East London,Eastern Cape,Retail,2024-03-16
270,Liam Botha,customer270@example.co.za,0836920597,Mbombela,Mpumalanga,Retail,2022-04-14
